#,קוד פריט,ספק,קטגוריה,שם מוצר,תיאור,יחידה,מחיר אר-אל,מחיר לאחר הנחה,תיאור נוסף,
195,225021,נתון חסר,מוצרי נייר,"נייר תעשייתי תאית פרחוני 6 ק""ג רוחב 29",ריק,יח',0,0,,
265,315711,נתון חסר,חומרי ניקוי,סבון  FOAM  תואם למתקן  סבון TORK  1/6,ריק,יח',0,0,,
266,315712,נתון חסר,חומרי ניקוי,סבון  FOAM ליטר  1/6 תואם TORK,ריק,יח',0,0,,
257,3101662,נתון חסר,חומרי ניקוי,סבון (תחליב ) רחצה 1 ליטר+משאבה,ריק,יח',0,0,,
255,310166,נתון חסר,חומרי ניקוי,סבון ידיים נוזלי 1/3 0.5 ליטר + משאבה,ריק,יח',0,0,,
243,310156,נתון חסר,חומרי ניקוי,סבון נוזלי כלים 750 מייל PRO207ULTRA,ריק,יח',0,0,,
242,310154,נתון חסר,חומרי ניקוי,"סבון נוזלי לכלים פלסיב 24% 750 מ""ל",ריק,יח',0,0,,
261,315700,נתון חסר,חומרי ניקוי,סבון קצף 1 ליטר לסבוניה GP enMotion - 1/5,ריק,יח',0,0,,
264,315707,נתון חסר,חומרי ניקוי,סבון קצף 1.2 ליטר לסבוניה קצף חשמלית 32499 MOD 1/2,ריק,יח',0,0,,
262,315703,נתון חסר,חומרי ניקוי,סבון קצף ריחני במיוחד 1 ליטר 1/6 תואם AQ  KC,ריק,יח',0,0,,
263,315705,נתון חסר,חומרי ניקוי,סבון קצף ריחני במיוחד תואם KC 1 ליטר,ריק,יח',0,0,,
310,325113,נתון חסר,חומרי ניקוי,סבון תלוי לאסלה 'W.C כחול 1/3,ריק,יח',0,0,,
311,325116,נתון חסר,חומרי ניקוי,סבון תלוי לאסלה כחול שלישיה,ריק,יח',0,0,,
463,711034,נתון חסר,מוצרי אריזה ו-T.A,סברינה גבוה ארוז 440 יח',ריק,יח',0,0,,
451,711006,נתון חסר,מוצרי אריזה ו-T.A,"סוכר לבן 4 גר' 1,000 יח'",ריק,יח',0,0,,
476,711059,נתון חסר,מוצרי אריזה ו-T.A,סוכרלוז מוסדי מרובע,ריק,יח',0,0,,
29,33355,נתון חסר,שונות,סוללה  R20 D אלקליין  1/2,ריק,יח',0,0,,
31,36666,נתון חסר,שונות,סוללה AAA 1/4,ריק,יח',0,0,,
30,35555,נתון חסר,שונות,סוללה אלקליין אצבע AA,ריק,יח',0,0,,
570,920013,נתון חסר,מסעדנות,סינר ניילון 100 יח',ריק,יח',0,0,,
556,913062,נתון חסר,חד פעמי,סכין איכותית שנהב/שקוף 1/50,ריק,יח',0,0,,
560,913084,נתון חסר,חד פעמי,סכינים חד פעמי 1/100,ריק,יח',0,0,,
604,926006,נתון חסר,אביזרי ניקיון,ספוג הפלא בלנקו 1/6,ריק,יח',0,0,,
314,328018,נתון חסר,חומרי ניקוי,ספריי נירוסטה 3M,ריק,יח',0,0,,
313,328017,נתון חסר,חומרי ניקוי,"ספריי נירוסטה 500 סמ""ק",ריק,יח',0,0,,
603,926005,נתון חסר,אביזרי ניקיון,סקוטש אמריקאי לבן,ריק,יח',0,0,,
606,926020,נתון חסר,אביזרי ניקיון,"סקוטש שחור 20"" למכונה 1/5",ריק,יח',0,0,,
470,711046,נתון חסר,מסעדנות,פרגפלסט,ריק,יח',0,0,,
551,912073,נתון חסר,חד פעמי,"צלחות חד פעמי קטנות ""7 חזקות 1/50",ריק,יח',0,0,,
549,912065,נתון חסר,חד פעמי,"צלחות חד""פ גדולות איכותיות ""9 - 1/25",ריק,יח',0,0,,
548,912006,נתון חסר,חד פעמי,"צלחות חד""פ קטנות ""7 - לבן פשוט 1/20",ריק,יח',0,0,,
605,926007,נתון חסר,אביזרי ניקיון,צמר פלדה 400 גר',ריק,יח',0,0,,
452,711007,נתון חסר,מסעדנות,קיסם מעטפה שחור א-500 יח',ריק,יח',0,0,,
498,711894,נתון חסר,מסעדנות,קיסמי שיניים בעטיפת צלופן אישית ,ארוז 1000 יח',יח',0,0,,
